;HAc1;HAc2;HAps1;HAps2;PUc3;PUc4;PUps3;PUps4
Otu0001;10;2;4;0;21;61;23;158
Otu0002;2;0;0;0;4;7;1;1
Otu0003;152;1872;115;119;2891;0;2193;0
Otu0004;126;951;270;128;2611;16;1683;13
Otu0005;10;521;695;2712;2;95;4;233
Otu0006;314;382;213;104;196;7;403;0
Otu0007;30;740;285;87;258;9;195;0
Otu0008;1;1;0;6;2;1027;3;243
Otu0009;136;97;25;14;1008;87;352;23
Otu0010;1279;3;2;27;0;0;0;0
Otu0011;12;167;83;29;5;4;9;0
Otu0012;3;233;100;16;50;0;49;0
Otu0013;0;0;0;0;0;13;1;612
Otu0014;0;0;0;0;0;0;0;996
Otu0015;37;69;2;2;477;11;342;0
Otu0016;85;11;0;0;69;4;72;2
Otu0017;16;196;11;5;0;240;0;23
Otu0018;9;134;102;26;1;0;0;0
Otu0019;10;2;1;208;0;126;1;150
Otu0020;3;1;0;0;508;0;104;0
Otu0021;21;140;127;43;0;0;0;0
Otu0022;459;44;42;38;0;8;0;0
Otu0023;344;1;2;0;128;0;149;0
Otu0024;0;0;0;0;0;163;1;235
Otu0025;5;220;62;25;9;0;0;0
Otu0026;66;28;21;24;0;0;1;0
Otu0027;80;85;43;91;10;0;15;0
Otu0028;2;432;1;9;47;0;65;0
Otu0029;0;0;0;0;0;48;0;153
Otu0030;0;0;0;0;1;8;0;0
Otu0031;206;32;23;24;0;0;1;0
Otu0032;10;8;16;0;316;0;161;0
Otu0033;76;19;11;6;16;0;36;0
Otu0034;7;12;3;0;0;0;0;0
Otu0035;37;8;10;1;4;13;5;45
Otu0036;4;51;30;0;39;0;18;0
Otu0037;0;0;0;0;0;31;0;161
Otu0038;36;0;0;0;194;9;78;0
Otu0039;9;8;7;0;173;0;102;0
Otu0040;29;36;19;8;5;0;21;0
Otu0041;5;31;20;0;21;2;22;22
Otu0042;290;10;10;7;4;4;7;0
Otu0043;5;24;24;1;0;0;0;0
Otu0044;0;0;0;0;0;30;0;3
Otu0045;3;7;4;13;5;6;9;0
Otu0046;39;7;2;5;0;0;0;0
Otu0047;3;10;4;40;0;2;0;15
Otu0048;0;0;0;0;0;20;1;108
Otu0049;0;14;3;0;0;14;0;78
Otu0050;18;38;9;4;71;3;49;0
Otu0051;2;17;14;78;0;0;0;0
Otu0052;253;0;0;0;0;0;0;0
Otu0053;7;30;17;0;5;0;2;0
Otu0054;12;45;51;4;5;0;6;0
Otu0055;18;21;7;0;0;2;0;0
Otu0056;11;41;10;0;0;3;0;0
Otu0057;0;1;0;0;0;11;0;49
Otu0058;0;0;0;0;0;40;1;6
Otu0059;0;0;0;0;0;50;1;1
Otu0060;3;54;22;0;7;0;1;0
Otu0061;3;6;1;0;42;0;38;0
Otu0062;1;13;15;0;15;3;4;0
Otu0063;1;23;2;0;0;0;0;0
Otu0064;2;6;2;2;32;0;15;0
Otu0065;10;15;9;3;3;0;1;0
Otu0066;3;25;23;0;0;0;0;0
Otu0067;0;0;0;0;0;89;0;55
Otu0068;0;0;0;0;0;121;0;8
Otu0069;3;8;3;0;1;0;0;0
Otu0070;3;23;2;10;10;2;11;3
Otu0071;0;0;0;0;1;0;3;0
Otu0072;2;17;6;0;3;0;0;0
Otu0073;9;9;12;0;8;0;12;0
Otu0074;15;10;21;0;0;0;0;0
Otu0075;0;3;0;1;70;0;34;0
Otu0076;1;14;11;2;0;0;0;0
Otu0077;23;6;0;4;0;0;0;0
Otu0078;4;23;14;0;0;0;0;0
Otu0079;8;10;1;0;33;0;28;0
Otu0080;0;39;76;0;0;0;0;0
Otu0081;2;70;10;0;0;2;1;5
Otu0082;9;22;19;0;1;0;0;0
Otu0083;1;14;4;1;2;0;0;0
Otu0084;0;0;0;109;0;0;0;0
Otu0085;11;4;1;0;0;15;0;20
Otu0086;0;0;0;0;0;11;0;7
Otu0087;0;0;0;0;0;6;0;1
Otu0088;4;24;0;19;3;0;1;17
Otu0089;1;3;5;4;6;0;5;0
Otu0090;22;4;2;0;20;0;30;0
Otu0091;24;6;1;0;0;0;0;0
Otu0092;1;33;7;0;4;0;2;0
Otu0093;0;0;0;0;0;1;1;0
Otu0094;12;12;2;1;3;8;2;0
Otu0095;11;4;0;3;23;0;32;0
Otu0096;3;2;1;14;0;0;0;0
Otu0097;1;11;3;24;5;0;2;0
Otu0098;0;10;2;15;0;0;0;0
Otu0099;0;0;0;0;0;13;0;15
Otu0100;8;4;0;0;4;0;2;0
