;HPc1;HPc2;HPps1;HPps2;KEc3;KEc4;KEps3;KEps4
Otu0001;290;10;10;7;4;4;7;0
Otu0002;5;24;24;1;0;0;0;0
Otu0003;0;0;0;0;0;30;0;3
Otu0004;3;7;4;13;5;6;9;0
Otu0005;39;7;2;5;0;0;0;0
Otu0006;3;10;4;40;0;2;0;15
Otu0007;0;0;0;0;0;20;1;108
Otu0008;0;14;3;0;0;14;0;78
Otu0009;18;38;9;4;71;3;49;0
Otu0010;2;17;14;78;0;0;0;0
Otu0011;253;0;0;0;0;0;0;0
Otu0012;7;30;17;0;5;0;2;0
Otu0013;12;45;51;4;5;0;6;0
Otu0014;18;21;7;0;0;2;0;0
Otu0015;11;41;10;0;0;3;0;0
Otu0016;0;1;0;0;0;11;0;49
Otu0017;0;0;0;0;0;40;1;6
Otu0018;0;0;0;0;0;50;1;1
Otu0019;3;54;22;0;7;0;1;0
Otu0020;3;6;1;0;42;0;38;0
Otu0021;1;13;15;0;15;3;4;0
Otu0022;1;23;2;0;0;0;0;0
Otu0023;2;6;2;2;32;0;15;0
Otu0024;10;15;9;3;3;0;1;0
Otu0025;3;25;23;0;0;0;0;0
Otu0026;0;0;0;0;0;89;0;55
Otu0027;0;0;0;0;0;121;0;8
Otu0028;3;8;3;0;1;0;0;0
Otu0029;3;23;2;10;10;2;11;3
Otu0030;0;0;0;0;1;0;3;0
Otu0031;2;17;6;0;3;0;0;0
Otu0032;9;9;12;0;8;0;12;0
Otu0033;15;10;21;0;0;0;0;0
Otu0034;0;3;0;1;70;0;34;0
Otu0035;1;14;11;2;0;0;0;0
Otu0036;23;6;0;4;0;0;0;0
Otu0037;4;23;14;0;0;0;0;0
Otu0038;8;10;1;0;33;0;28;0
Otu0039;0;39;76;0;0;0;0;0
Otu0040;2;70;10;0;0;2;1;5
Otu0041;9;22;19;0;1;0;0;0
Otu0042;1;14;4;1;2;0;0;0
Otu0043;0;0;0;109;0;0;0;0
Otu0044;11;4;1;0;0;15;0;20
Otu0045;0;0;0;0;0;11;0;7
Otu0046;0;0;0;0;0;6;0;1
Otu0047;4;24;0;19;3;0;1;17
Otu0048;1;3;5;4;6;0;5;0
Otu0049;22;4;2;0;20;0;30;0
Otu0050;24;6;1;0;0;0;0;0
Otu0051;1;33;7;0;4;0;2;0
Otu0052;0;0;0;0;0;1;1;0
Otu0053;12;12;2;1;3;8;2;0
Otu0054;11;4;0;3;23;0;32;0
Otu0055;3;2;1;14;0;0;0;0
Otu0056;1;11;3;24;5;0;2;0
Otu0057;0;10;2;15;0;0;0;0
Otu0058;0;0;0;0;0;13;0;15
Otu0059;8;4;0;0;4;0;2;0
Otu0060;5;21;14;0;1;0;1;0
Otu0061;2;12;6;0;0;0;0;0
Otu0062;1;5;2;0;1;0;3;0
Otu0063;3;21;13;0;0;3;1;0
Otu0064;0;0;0;0;0;12;0;31
Otu0065;0;14;62;0;0;0;0;0
Otu0066;0;0;0;0;0;0;0;74
Otu0067;0;0;0;0;52;0;21;0
Otu0068;7;0;0;0;22;0;3;0
Otu0069;12;0;0;0;0;27;0;2
Otu0070;0;31;23;2;0;0;1;0
Otu0071;0;10;5;24;0;0;0;0
Otu0072;2;14;6;5;0;0;0;0
Otu0073;8;11;4;0;5;0;2;0
Otu0074;0;8;3;0;0;0;0;0
Otu0075;17;4;2;2;1;0;7;0
Otu0076;0;0;0;0;0;23;0;2
Otu0077;2;0;0;0;27;0;25;0
Otu0078;1;13;6;0;0;0;0;0
Otu0079;1;8;10;1;0;0;0;0
Otu0080;13;1;0;5;4;3;3;0
Otu0081;3;20;3;0;5;0;0;0
Otu0082;0;0;0;0;1;0;0;3
Otu0083;5;5;5;0;5;0;4;0
Otu0084;25;1;0;1;0;2;0;0
Otu0085;26;2;4;0;0;1;1;4
Otu0086;0;11;4;0;0;0;0;4
Otu0087;22;1;0;12;0;4;0;0
Otu0088;2;0;0;0;12;0;19;0
Otu0089;6;8;2;5;4;0;2;0
Otu0090;0;0;0;0;0;0;0;10
Otu0091;0;0;0;0;0;31;0;1
Otu0092;0;0;0;0;0;2;0;18
Otu0093;1;5;4;4;0;0;0;0
Otu0094;0;0;0;0;0;3;0;5
Otu0095;23;0;2;0;0;0;0;0
Otu0096;0;0;0;0;0;3;0;2
Otu0097;9;0;0;12;1;2;1;0
Otu0098;0;0;0;0;0;0;0;24
Otu0099;4;6;6;4;0;0;2;0
Otu0100;4;38;0;0;0;0;0;0
